X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0013762783949192268,85.80294878914012,0.8717757101131636
2.0,2.0,train,0.0017214207105230078,92.7707345878178,0.9233931507268215
3.0,3.0,train,0.001646265407006847,90.91413494201865,0.9143003141611817
4.0,4.0,train,0.0013829227361562679,86.10176339165407,0.873040910941647
5.0,5.0,train,0.002022688656006271,97.78272582114687,0.9511345493804517
6.0,6.0,train,0.0028815614451037294,98.98121213024025,0.98643790694004
7.0,7.0,train,0.0017965843924963826,94.52408049328562,0.9315220829942588
8.0,8.0,train,0.0021925364182081427,98.41836746391495,0.9620758622111243
9.0,9.0,train,0.0017144639706373362,92.48955087941954,0.9225936506336925
10.0,10.0,train,4.3459303508484973E-4,21.173879496816486,0.4772185743813475
11.0,11.0,train,0.0010754947557282404,70.58543408899166,0.7991267556258563
12.0,12.0,train,0.0017405077024113232,93.63687702538185,0.9255445593317085
13.0,13.0,train,0.0010824902476423764,71.01662204635473,0.8012129942613528
14.0,14.0,train,0.001242295821831737,78.34282443186795,0.8433932032535607
15.0,15.0,train,0.003024229181044191,99.28363025002884,0.9890388237686744
16.0,16.0,train,8.154589810697582E-4,53.54133593708385,0.7038830214024128
17.0,17.0,train,8.689359974820263E-4,57.70260253439138,0.7265975631437263
18.0,18.0,train,9.968875943543736E-4,65.30429663761475,0.7741235092298333
19.0,19.0,train,0.0016555887368145978,91.27169394319202,0.9154845032347636
20.0,20.0,train,8.252350615743153E-4,54.03377955134382,0.7081719861353646
21.0,21.0,train,4.7459705659467393E-4,24.73118923296954,0.5075164919504724
22.0,22.0,train,8.38790713173699E-4,55.781653052265234,0.7140165279600494
23.0,23.0,train,0.0014397871601001568,87.36568099652136,0.8833707900182506
24.0,24.0,train,9.065428070416055E-4,59.91911290154649,0.7415195696368679
25.0,25.0,train,5.520271554909665E-4,30.998160984790104,0.5612615844224735
26.0,26.0,train,6.617275023244651E-4,40.851297983978355,0.6275192845806806
27.0,27.0,train,6.163415245426381E-4,36.248402647324475,0.6014153727806018
28.0,28.0,train,3.579354180056641E-4,15.782820691337204,0.41385441689300906
29.0,29.0,train,6.456779273834495E-4,39.015644529167176,0.6184897023962452
30.0,30.0,train,6.761366703258824E-4,42.18839096744999,0.63544375322262
31.0,31.0,train,6.878696641827395E-4,43.518055653617125,0.6417717361320019
32.0,32.0,train,5.041074833528565E-4,27.184877033216697,0.5287356161014638
33.0,33.0,train,0.0010951426224116193,71.56449672589666,0.804931383987093
34.0,34.0,train,9.217180501107945E-5,3.454548287419659,0.12851645951095814
35.0,35.0,train,5.327461516001874E-4,29.428458453213626,0.548453403520101
36.0,36.0,train,4.685475404579295E-4,24.28687250416443,0.5030500365532571
37.0,37.0,train,0.0010824725348352376,71.01589514791806,0.8012077392962552
38.0,38.0,train,7.727869295472033E-4,50.75908139620826,0.6844115937791064
39.0,39.0,train,9.133357057567213E-4,60.381876799271794,0.7441267554278428
40.0,40.0,train,9.95215764870655E-4,65.15903616794127,0.7735592305662584
41.0,41.0,train,0.001608095176751648,90.58578507436091,0.9092766408966029
42.0,42.0,train,4.9283844557102E-4,26.277134724443165,0.5207428468716913
43.0,43.0,train,7.517955902496178E-4,48.92615096889724,0.6743684336639899
44.0,44.0,train,4.261487021120183E-4,20.393155942651795,0.4705885723187393
45.0,45.0,train,5.537799397586101E-4,31.25014979200547,0.562407769980708
46.0,46.0,train,4.802586289654152E-4,25.31940888405562,0.5116601508039434
47.0,47.0,train,4.4509308821504023E-4,22.216940973781075,0.4853469172251724
48.0,48.0,train,4.6714327293856937E-4,24.200108140572514,0.5020074637584651
49.0,49.0,train,7.143817080731376E-4,45.99953509616754,0.6556689664715682
50.0,50.0,train,0.0013087513970805945,82.05846273555673,0.8581799370388874
51.0,51.0,train,8.452101361673197E-4,56.28737175008956,0.7167432880943292
52.0,52.0,train,0.0012361114653947692,77.90742860636584,0.8419410931284954
53.0,53.0,train,2.214274159013681E-4,8.155033197256174,0.28140755310301624
54.0,54.0,train,6.632719677868417E-4,41.026836474766164,0.6283768559624998
55.0,55.0,train,4.899362882296225E-4,25.953886373147288,0.5186625796885109
56.0,56.0,train,4.107989031564658E-4,19.275568344727624,0.45832071640659733
57.0,57.0,train,6.609411813891929E-4,40.761927523055164,0.6270819163927575
58.0,58.0,train,0.0017978032722716693,94.54896849473171,0.9316465359385165
59.0,59.0,train,0.00133612683299829,83.11146935952836,0.8638572912104943
60.0,60.0,train,8.797265329104977E-5,3.297644816818465,0.12303784166255527
61.0,61.0,train,5.56201977322759E-4,31.58959993618695,0.5639866695457935
62.0,62.0,train,6.049464132391323E-4,35.148271166258255,0.594578997288833
63.0,63.0,train,1.2839451397615845E-4,4.8319406625531895,0.1743773939747969
64.0,64.0,train,0.0013496362107096363,84.05340150817013,0.8665746549168316
65.0,65.0,train,0.0013518512644430077,84.32415864869826,0.8670150005242827
66.0,66.0,train,7.888756704327391E-4,51.542096807054065,0.6918989468134535
67.0,67.0,train,0.0014401694019613152,87.37540573111102,0.8834373036132895
68.0,68.0,train,6.149843312440818E-4,35.98007208175419,0.6006072248506427
69.0,69.0,train,6.523646061748896E-4,39.58913602261358,0.6222779666406313
